"IF SOMETHING IS NOT MENTIONED, YOU DON'T HAVE TO DO IT",,,,
"IF SOMETHING HAS THE SAME / NO ORDER, THE ORDER DOESN'T MATTER AS LONG AS YOU DO IT",,,,
"""OPT"" means there is some optional stuff with something useful especially for first characters of a league, but not strictly required for progressing through the act",,,,
Zone,Order ,Steps,Notes,Rewards
Vastiri Outskirts,1,Find and kill Rathbreaker,,
,2,"Portal back to camp, enter caravan",Can also go ESC - respawn at checkpoint,
Town #1,,"Speak to everyone, use desert map to go to mawdun quarry",,
Mawdun Quarry,,Find exit to mawdun mine,Follow the checkpoints,
Mawdun Mine,1,Find and kill Rudja,,
,2,"Talk to Risu, portal back to town",,
Town #2,1,"Talk to Risu, then use desert map to go to halani gates",,
,2,"Talk to Asala at the gates, go back to caravan, talk to Risu again, then to Asala again",,
,3,Use desert map to go to Traitor's Passage,,
Traitor's Passage,1,"Find and kill Basala, pick up the Djinn Barya quest item","if you find paper on the walls, you are close",
,2,Find the exit to the halani gates,stairs up means you are on the right way,
,Opt,"Find and loot the ""Bell Chest""","I's in a dead end with a checkpoint, some monsters and already dropped gold on the ground",two level 6 uncut skill gems (UNCONFIRMED)
The Halani Gates,1,Find and kill Jamanra the risen king,Always keep close to the canyon. Cross the canyon three times to find the boss.,
,2,"Go down the stairs and to the bottom right of the zone, then back to town",,
Town #3,1,Speak to Zarka and turn in her quest,,level 7 uncut skill gems
,2,Use the desert map to go to the Trial of Sekhemas,"Take waypoint, then go back to town. You can do the first ascendency trial whenever you feel ready from now on.",
,3,"Talk to everyone, then use desert map to go to Keth",If it's not possible yet (due to changes in 0.2.0) try to do that at any later point where you are in town,
Keth,1,"Kill Kabala, the constrictor queen",somewhat on the middle of the zone,2 skill points
,,Kill (snake) monsters until you find the Kabala Clan relic.,Can also drop in the lost city,
,,Find exit to the lost city,"always bottom right of the zone, after a big bridge. take checkpoint, do the rest if not yet done",
,2,Go to the lost city,,
The Lost City,,Find exit and go to the buried shrines,,
,Opt,Find the golden tomb,,uncut spirit gem
,Opt,Find the ninth treasure of keth (big gilded beetle),"has an event name ""the galleria"" on the map",Random Jewel
Buried Shrines,,Find the heart of Keth,,
,Opt,Find and loot the guarded sarcophjagus,,uncut support gem
,Opt,Find and complete the Elemental Offering Event,Random resistance ring (ruby suggested for upcomung boss fight),
Heart of Keth,1,Kill Azarian the Forsaken Son,,
,2,"Talk to the goddess, loot the cinders, burn the goddess, loot the essence of water",,
Town #4,1,Talk to Zarka,,uncut support gem
,2,Use desert map to go to mastodon badlands,,
Mastodon Badlands,1,Find the exit to the bone pits,,
,,Find the Lightless passage to unlock the well of souls,,
,Opt,Kill (hyena) enemies until you found the sun clan relic,"don't stress it, it's more likely to be found in the bone pits anyways",
,Opt,Find and Loot the Shrine of Bones,It's a rare effigy near a checkpoint,Uncut support Gem
The Bone Pits,1,Find and kill the zone boss and loot the horn,,
,,Kill (hyena) enemies until you found the sun clan relic,,
,2,Portal back to town,,
Town #5,1,Talk to Zarka,,uncut support gem
,2,Use desert map to go to the valley of titans,,
The Valley of the Titans,1,Find and click the three ancient seals,,
,,Find the medallion and place the two relics in there,"The waypoint is here. Choose a buff, it can be changed later at any time",one of two permanent buffs
,,Find the exit to the Titan Grotto,,
,2,Go to the Titan Grotto,,
Titan Grotto,,"Find and kill the boss, then go back to town",,
Town #6,1,"Talk to Zarka, then Asala",,uncut support gem
,2,Use the desert map to traval to the halani gates,,
,3,Go to the front of the caravan and sound the horn,,
,4,Use the desert map to traval to deshar,, 
Deshar,1,Talk to the abandoned rhoa BECAUSE IT'S THE RIGHT THING TO DO YOU MONSTER.,,
,2,Find the final letter on a corpse on the ground,near a big tower on the ground,2 skill points on quest turn in
,,Find the exit to the path of mourning,"enter zone, take waypoint, backtrack to Deshar",
,3,Go the the Path of Mourning,,
The Path of Mourning,,Find the exit to the Spires of Deshar,,
The Spires of Deshar,1,Find the sisters of Garukhan,,10% lightning res
,,"Find and kill Tor Gul, the Defiler",,
,2,Portal back to town,,
Town #7,1,Turn in the final letter at Shambrin,,Here you will get the second 2 skill points
,2,"Talk to everyone, then use desert map to go to the dreadnought",,
The Dreadnought,1,"Find the exit to the dreadnought vanguard, then find and kill Jamara, the Abomination",,
,2,Portal back to town,,
Town #8,,"Leave the Caravan, talk to the Hooded one, go back to the Caravan, Talk to Asala to go to act 3",,
